,Lugar,Categoría,PUBLICACIÓN,ID Puesto
29,"Camaçari, Brasil",Customer S&S: F2F (NEW),2022-02-11,Req0925083
30,", Polonia",Analysis & Control (NEW),2022-02-10,Req0924353
31,"East Providence, Estados Unidos",Recovery & Collections (NEW),1900-01-01,Req0923582
32,"Ponta Grossa, Brasil",Customer S&S: F2F (NEW),2022-02-08,Req0923251
33,"Dallas, Estados Unidos",Systems Infrastructure & Communication Platforms (NEW),2022-01-31,Req0919853
34,", Argentina",Data Analytics & Models (NEW),2022-01-31,Req0918712
35,"Suwałki, Polonia",Customer S&S: F2F (NEW),2022-01-28,Req0918633
36,"Włocławek, Polonia",Customer S&S: F2F (NEW),2022-01-27,Req0918363
37,"Kwidzyn, Polonia",Customer S&S: F2F (NEW),2022-01-25,Req0917032
38,"Boadilla del Monte, España",End User Technologies (NEW),2022-01-21,Req0915931
39,"Redhill, Reino Unido",Operations (NEW),2022-01-21,Req0915938
40,", Brasil",Customer S&S: F2F (NEW),2022-01-20,Req0915504
41,", Brasil",Customer S&S: F2F (NEW),2022-01-20,Req0915474
42,"Suwałki, Polonia",Customer S&S: F2F (NEW),2022-01-20,Req0915345
43,"São Caetano do Sul, Brasil",Customer S&S: F2F (NEW),2022-01-19,Req0915026
44,"São Paulo, Brasil",Credit Risk (NEW),2022-01-13,Req0912930
45,"Milton Keynes, Reino Unido",Service & Delivery Management (NEW),2022-01-14,Req0912440
46,"Milton Keynes, Reino Unido",Service & Delivery Management (NEW),2022-01-10,Req0911205
47,"Boadilla del Monte, España","Finance, Consumer Financing, Corporate & Investment Banking, Finanzas / Análisis & Control, Wealth Management & Private Banking",2022-01-03,Req0907120
48,"Posnania, Polonia",Sales (NEW),2022-01-03,Req0907073
49,"Oleśnica, Polonia",Customer S&S: F2F (NEW),2021-12-14,Req0902643
50,"Boadilla del Monte, España",Tax (NEW),2021-12-03,Req0899499
51,"Burton upon Trent, Reino Unido",Customer S&S: F2F (NEW),2021-11-19,Req0892606
52,"Redhill, Reino Unido",Credit Risk (NEW),2021-11-11,Req0889786
53,"Orpington, Reino Unido",Customer S&S: F2F (NEW),2021-10-19,Req0878394
54,"Múnich, Alemania",Software Engineering (NEW),2021-09-07,Req0857889
55,"Piscataway, Estados Unidos",Operaciones & Soporte,2022-03-10,2200837
56,"Piscataway, Estados Unidos",Operaciones & Soporte,2022-03-10,2200954
57,"Dorchester, Estados Unidos, Nueva York, Estados Unidos",Riesgos & Gobierno,2022-03-10,2200671
58,"Madrid, España",Software Engineering (NEW),2021-11-26,Req0895831
59,"Torino, Italia",Operations (NEW),2022-03-10,Req0935210
60,"Boadilla del Monte, España",Technology Risk & Cybersecurity (NEW),2022-03-10,Req0935185
61,"Múnich, Alemania",Software Engineering (NEW),2022-03-01,Req0935222
62,", Polonia",Product & IT Project Management (NEW),2022-03-08,Req0934239
63,"Posnania, Polonia",Legal (NEW),2022-03-07,Req0933027
64,"París, Francia",Banker (NEW),2022-03-03,Req0932328
65,"Piotrków Trybunalski, Polonia",Customer S&S: F2F (NEW),2022-02-28,Req0930813
66,"Redhill, Reino Unido",Customer S&S: Remote (NEW),2022-02-23,Req0928820
67,"Ji Paraná, Brasil",Customer S&S: F2F (NEW),2022-02-21,Req0927870
68,"Boadilla del Monte, España",Project (NEW),2022-02-21,Req0927345
69,"São Paulo, Brasil","Solution Application, Infrastructure & Data Architecture (NEW)",2022-02-05,Req0922129
70,"Boadilla del Monte, España",Operations (NEW),2022-02-24,Req0922100
71,"Milton Keynes, Reino Unido",Compliance (NEW),2022-02-07,Req0921916
72,"Boadilla del Monte, España",Non-financial Risk (NEW),2022-01-25,Req0916895
73,"Posnania, Polonia",Sales (NEW),2022-01-24,Req0916371
74,"Milton Keynes, Reino Unido",Product & Service Value Proposition Management (NEW),2022-01-17,Req0912727
75,"Vila Pouca de Aguiar, Portugal",Customer S&S: F2F (NEW),2022-01-13,Req0912854
76,"Barry, Reino Unido",Customer S&S: F2F (NEW),2022-01-05,Req0908763
77,"Łomża, Polonia",Customer S&S: F2F (NEW),2022-01-03,Req0907032
78,"East Grinstead, Reino Unido",Customer S&S: F2F (NEW),2021-12-22,Req0905371
79,", Polonia",Software Engineering (NEW),2021-12-02,Req0898343
80,"Londres, Reino Unido",Compliance (NEW),2021-12-02,Req0897983
81,"Londres, Reino Unido",Compliance (NEW),2021-12-02,Req0898048
82,"Przeźmierowo, Polonia",Customer S&S: F2F (NEW),2021-11-30,Req0896869
83,"Belo Horizonte, Brasil",Customer S&S: F2F (NEW),2021-11-16,Req0891457
84,"Brumadinho, Brasil",Customer S&S: F2F (NEW),2021-10-29,Req0884353
85,"Posnania, Polonia",Sales (NEW),2021-10-26,Req0883323
86,"Milton Keynes, Reino Unido",Product & Service Value Proposition Management (NEW),2021-10-19,Req0877559
87,"São Paulo, Brasil",Admin & Support (NEW),2021-09-03,Req0857236
88,"Schweinfurt, Alemania",Banca Comercial & Retail,2021-11-09,13547597
89,"Mönchengladbach, Alemania",Auditoria Interna,2021-11-18,13560397
90,"Mönchengladbach, Alemania",Data Science & Analytics,2021-11-18,13560322
91,"Bielefeld, Alemania",Banca Comercial & Retail,2021-11-02,13155922
92,"Oldenburg, Alemania",Banca Comercial & Retail,2021-11-02,13155467
93,"Mönchengladbach, Alemania",Product Management,2021-10-25,13295632
94,"Mönchengladbach, Alemania",Auditoria Interna,2021-10-21,12979622
95,"Mönchengladbach, Alemania",Cumplimiento & Asesoría Jurídica,2021-11-02,13156347
96,"Mönchengladbach, Alemania",Estrategia,2021-10-15,13122637
97,"Mönchengladbach, Alemania",Data Science & Analytics,2021-10-29,13119612
98,"Mönchengladbach, Alemania",Data Science & Analytics,2021-10-28,13100217
99,"Mönchengladbach, Alemania",Auditoria Interna,2021-10-22,12979662
100,"Eisenach, Alemania",Banca Comercial & Retail,2021-10-20,12909607
101,"Wurzburgo, Alemania",Banca Comercial & Retail,2021-10-08,12909747
102,"Bielefeld, Alemania",Banca Comercial & Retail,2021-10-13,12766617
103,"Mönchengladbach, Alemania",Auditoria Interna,2021-10-21,12979572
104,"Mönchengladbach, Alemania",Auditoria Interna,2021-10-21,12976752
105,"Mönchengladbach, Alemania",Banca Comercial & Retail,2021-10-06,12901212
106,"Mönchengladbach, Alemania",Product Management,2021-09-30,12807322
107,"Mönchengladbach, Alemania",Product Management,2021-09-30,12807017
108,"Mönchengladbach, Alemania",Product Management,2021-09-29,12766642
109,"Berlín, Alemania",Banca Comercial & Retail,2021-10-07,12662957
110,"Brema, Alemania",Banca Comercial & Retail,2021-10-07,12662887
111,"Nordhausen, Alemania",Banca Comercial & Retail,2021-10-11,12688557
112,"Wilhelmshaven, Alemania",Banca Comercial & Retail,2021-10-07,12664002
113,"Mönchengladbach, Alemania",Recursos Humanos,2021-10-04,12663397
114,"Mönchengladbach, Alemania",Auditoria Interna,2021-10-12,12720787
115,"Mönchengladbach, Alemania",Auditoria Interna,2021-10-08,12693327
116,"Mönchengladbach, Alemania",Consumer Financing,2021-09-21,12609347
117,"Ciudad de México, México",Banca Comercial & Retail,2021-09-30,12530007
118,"Magdeburgo, Alemania",Banca Comercial & Retail,2021-10-11,12338972
119,"Hanóver, Alemania",Banca Comercial & Retail,2021-09-16,12250992
120,"Gütersloh, Alemania",Banca Comercial & Retail,2021-09-16,12251012
121,"Bielefeld, Alemania",Banca Comercial & Retail,2021-08-30,12166097
122,"Mönchengladbach, Alemania",Tecnología,2021-09-13,12441072
123,"Celle, Alemania",Banca Comercial & Retail,2021-10-11,12339292
124,"Mönchengladbach, Alemania",Product Management,2021-09-06,12147152
125,"Brema, Alemania",Banca Comercial & Retail,2021-08-13,11643112
126,"Eisenach, Alemania",Banca Comercial & Retail,2021-08-10,11725402
127,"Villingen-Schwenningen, Alemania",Banca Comercial & Retail,2021-09-07,11931472
128,"Mönchengladbach, Alemania",Finanzas / Análisis & Control,2021-09-06,12064012
129,"Gütersloh, Alemania",Banca Comercial & Retail,2021-08-02,11385082
130,"Berlín, Alemania",Banca Comercial & Retail,2021-07-28,11308997
131,"Paderborn, Alemania",Banca Comercial & Retail,2021-07-22,10958836
132,"Bad Homburg vor der Höhe, Alemania",Banca Comercial & Retail,2021-07-22,11127083
133,"Hanóver, Alemania",Banca Comercial & Retail,2021-07-22,11124763
134,"Wilhelmshaven, Alemania",Banca Comercial & Retail,2021-07-22,10964661
135,"Gütersloh, Alemania",Banca Comercial & Retail,2021-07-22,10958671
136,"Hildesheim, Alemania",Banca Comercial & Retail,2021-07-22,10449135
137,"Hamburgo-Harburgo, Alemania",Banca Comercial & Retail,2021-07-22,10449290
138,"Hamburgo-Harburgo, Alemania",Banca Comercial & Retail,2021-07-22,10449155
139,"Hamburgo, Alemania",Banca Comercial & Retail,2021-07-22,10449215
140,"Wiesbaden, Alemania",Banca Comercial & Retail,2021-09-15,10520465
141,"Tréveris, Alemania",Banca Comercial & Retail,2021-07-22,10490005
142,"Múnich, Alemania",Banca Comercial & Retail,2021-07-22,10809521
143,"Mönchengladbach, Alemania",Riesgos & Gobierno,2021-07-22,10937366
144,"Münster, Alemania",Banca Comercial & Retail,2021-07-22,8790596
145,"Osnabrück, Alemania",Banca Comercial & Retail,2021-07-22,8706762
146,"Münster, Alemania",Banca Comercial & Retail,2021-07-22,8577906
147,"Mannheim, Alemania",Banca Comercial & Retail,2021-07-22,9614362
148,"Mönchengladbach, Alemania",Banca Comercial & Retail,2021-07-22,10408500
149,"Paderborn, Alemania",Banca Comercial & Retail,2021-07-22,10285110
150,"Sulzbach-Rosenberg, Alemania",Banca Comercial & Retail,2021-07-22,7890847
151,"Freiberg, Alemania",Banca Comercial & Retail,2021-07-22,8100806
152,"Marburgo, Alemania",Banca Comercial & Retail,2021-07-22,7012565
153,"Garmisch-Partenkirchen, Alemania",Banca Comercial & Retail,2021-07-22,4759973
154,"Ciudad de México, México",Customer S&S: Specialized products (NEW),2022-03-09,Req0935148
155,"Múnich, Alemania",Software Engineering (NEW),2022-03-01,Req0935165
156,"Boca del Rio, México",Customer S&S: F2F (NEW),2022-03-09,Req0935144
157,"Jalapa, México",Customer S&S: F2F (NEW),2022-03-09,Req0935146
158,"Torino, Italia",Credit Risk (NEW),2022-03-09,Req0934914
159,"Cracovia, Polonia",Customer S&S: F2F (NEW),2022-03-09,Req0934744
160,"Santiago de Querétaro, México",Operations (NEW),2022-03-09,Req0934851
161,"Cracovia, Polonia",Customer S&S: F2F (NEW),2022-03-10,Req0934834
162,"Santiago de Querétaro, México",Operations (NEW),2022-03-09,Req0934849
163,"Santiago de Querétaro, México",Project (NEW),2022-03-07,Req0934094
164,"Juárez, México",Recovery & Collections (NEW),2022-03-04,Req0932576
165,"Boadilla del Monte, España",Capital (NEW),2022-03-03,Req0932332
166,"Posnania, Polonia",Software Engineering (NEW),2022-02-10,Req0924240
167,"Posnania, Polonia",Software Engineering (NEW),2022-02-10,Req0924237
168,"Boadilla del Monte, España","Project, Product Management",2021-11-22,Req0893063
169,", Polonia",Customer S&S: F2F (NEW),2022-03-09,Req0934647
170,"Belfast, Reino Unido",Customer S&S: Specialized products (NEW),2022-03-08,Req0934166
171,", Polonia",Customer S&S: F2F (NEW),2022-03-09,Req0934644
172,", Polonia",Customer S&S: F2F (NEW),2022-03-09,Req0934639
173,"Reading, Reino Unido",Customer S&S: F2F (NEW),2022-03-07,Req0933937
174,"Mesa, Estados Unidos",Middle Office (NEW),2022-03-01,Req0931338
175,"Odesa, Ucrania",Recovery & Collections (NEW),2022-03-01,Req0931194
176,"Belfast, Reino Unido",Customer S&S: Remote (NEW),2022-03-04,Req0932851
177,"Glasgow, Reino Unido",Customer S&S: Remote (NEW),2022-03-04,Req0932610
178,"Odesa, Ucrania",Middle Office (NEW),2022-03-04,Req0932959
179,"Ciudad de México, México",Operations (NEW),2022-02-28,Req0930950
180,"Mesa, Estados Unidos",Recovery & Collections (NEW),2022-02-28,Req0930904
181,"Iquique, Chile",Customer S&S: F2F (NEW),2022-02-24,Req0929681
182,"Londres, Reino Unido",Data Analytics & Models (NEW),2022-02-23,Req0928951
183,"Viña del Mar, Chile",Customer S&S: F2F (NEW),2022-02-24,Req0929684
184,"San Pedro, Bolivia",Customer S&S: F2F (NEW),2022-02-24,Req0929259
185,"Belfast, Reino Unido",Customer S&S: Remote (NEW),2022-02-24,Req0929771
186,"Santiago de Chile, Chile",Customer S&S: F2F (NEW),2022-02-24,Req0929266
187,"Ciudad de México, México",Operations (NEW),2022-02-21,Req0928084
188,"Breslavia, Polonia",Customer S&S: F2F (NEW),2022-02-22,Req0928296
189,"San Antonio, Chile",Customer S&S: F2F (NEW),2022-02-24,Req0929251
190,"Ciudad de México, México",Operations (NEW),2022-02-21,Req0928085
191,"Ciudad de México, México",Compliance (NEW),2022-02-21,Req0928072
192,"Sheffield, Reino Unido",Customer S&S: Remote (NEW),2022-02-16,Req0926939
193,"Belfast, Reino Unido",Customer S&S: Remote (NEW),2022-02-16,Req0927011
194,"Glasgow, Reino Unido",Customer S&S: Remote (NEW),2022-02-16,Req0926427
195,"Mönchengladbach, Alemania",Operations (NEW),2022-02-16,Req0926458
196,"Glasgow, Reino Unido",Customer S&S: Remote (NEW),2022-02-16,Req0926936
197,"Posnania, Polonia",Customer S&S: F2F (NEW),2022-02-16,Req0926469
198,"East Providence, Estados Unidos",Customer S&S: F2F (NEW),2022-02-16,Req0925749
199,", Argentina",Operations (NEW),2022-02-18,Req0927599
200,", Argentina",Operations (NEW),2022-02-18,Req0927580
201,"East Providence, Estados Unidos",Recovery & Collections (NEW),2022-02-17,Req0927323
202,"Bradford, Reino Unido",Customer S&S: Remote (NEW),2022-02-16,Req0927022
203,"Torino, Italia",Accounting (NEW),2022-02-18,Req0927023
204,"Reading, Reino Unido",Recovery & Collections (NEW),2022-02-16,Req0926527
205,"Posnania, Polonia",Customer S&S: F2F (NEW),2022-02-08,Req0922954
206,"North Richland Hills, Estados Unidos",Recovery & Collections (NEW),2022-02-09,Req0923786
207,", Polonia",Customer S&S: F2F (NEW),2022-02-11,Req0925117
208,", Polonia",Customer S&S: F2F (NEW),2022-02-11,Req0925116
209,", Polonia",Customer S&S: F2F (NEW),2022-02-11,Req0925096
210,"Milton Keynes, Reino Unido",Compliance (NEW),2022-02-11,Req0925093
211,"Bradford, Reino Unido",Customer S&S: Specialized products (NEW),2022-02-09,Req0923711
212,"Londres, Reino Unido",Compliance (NEW),2022-02-07,Req0922364
213,"Redhill, Reino Unido",HR Specialist (NEW),2022-02-11,Req0925212
214,"Mönchengladbach, Alemania",Customer S&S: Remote (NEW),2022-02-11,Req0924793
215,"Mesa, Estados Unidos",Recovery & Collections (NEW),2022-02-08,Req0923384
216,", Argentina",Credit Risk (NEW),2022-02-02,Req0920630
217,"Ciudad de México, México",Project (NEW),2022-01-27,Req0918541
218,"Londonderry County Borough, Reino Unido",Customer S&S: Specialized products (NEW),2022-01-26,Req0917602
219,"Odesa, Ucrania",Recovery & Collections (NEW),2022-01-25,Req0917291
220,"Odesa, Ucrania",Customer S&S: F2F (NEW),2022-01-24,Req0916413
221,"Torino, Italia","Product & Service Value Proposition Management (NEW), Analysis & Control (NEW), Accounting (NEW), Operations (NEW), Customer S&S: Specialized products (NEW), Procurement & Third Party Cost Mgmt. (NEW), Customer S&S: F2F (NEW)",2022-01-20,Req0915398
222,"Redhill, Reino Unido",Customer S&S: Remote (NEW),2022-01-11,Req0912121
223,"Milton Keynes, Reino Unido",Project (NEW),2022-01-07,Req0910627
224,"Arica, Chile",Customer S&S: F2F (NEW),2022-01-05,Req0909187
225,"Calama, Chile",Customer S&S: F2F (NEW),2022-01-05,Req0909168
226,"Mönchengladbach, Alemania",Operations (NEW),2021-01-06,Req0904053
227,"Santiago de Chile, Chile",Commercial & Business Banker (NEW),2021-12-16,Req0903776
228,"Boadilla del Monte, España",Project (NEW),2021-12-16,Req0903667
229,"Milton Keynes, Reino Unido",Project (NEW),2021-12-10,Req0901995
230,"Redhill, Reino Unido",Project (NEW),2021-12-10,Req0902043
231,"Mönchengladbach, Alemania",Operations (NEW),2021-12-09,Req0901506
232,"Madrid, España",Software Engineering (NEW),2021-12-01,Req0898005
233,"Londres, Reino Unido",Compliance (NEW),2021-12-02,Req0898443
234,"Milton Keynes, Reino Unido",Software Engineering (NEW),2022-02-23,Req0896629
235,"Gerasdorf bei Wien, Austria",Customer S&S: F2F (NEW),2021-11-29,Req0896348
236,"Gerasdorf bei Wien, Austria","Legal (NEW), Communication (NEW), HR Specialist (NEW), Product & IT Project Management (NEW), Software Engineering (NEW), Sales (NEW), Service & Delivery Management (NEW), Recovery & Collections (NEW), Top Management (NEW), Tax (NEW), HR Management (NEW), Technology Risk & Cybersecurity (NEW), Non-financial Risk (NEW), Business Development & Partnerships (NEW), Early Careers (NEW), Properties & Gral. Services (NEW), Research and Business Intelligence (NEW), Operations (NEW), Incidents & Problems Management (NEW), Solution Application, Infrastructure & Data Architecture (NEW), EWRM (NEW), Financial Management (NEW), Customer S&S: F2F (NEW), Marketing (NEW), Admin & Support (NEW), Market & Structural Risk (NEW), Data Analytics & Models (NEW), Product & Service Value Proposition Management (NEW), Analysis & Control (NEW), Accounting (NEW), Credit Risk (NEW), Audit (NEW), Procurement & Third Party Cost Mgmt. (NEW), Customer S&S: Remote (NEW), Data Management & Governance (NEW), End User Technologies (NEW), Compliance (NEW)",2021-11-29,Req0896311
237,"Mönchengladbach, Alemania",Customer S&S: Remote (NEW),2021-01-05,Req0895255
238,"Madrid, España",Software Engineering (NEW),2021-11-23,Req0893901
239,"Boadilla del Monte, España",Non-financial Risk (NEW),2021-11-26,Req0895810
240,"Boadilla del Monte, España",Operations (NEW),2021-11-26,Req0895812
241,"Mönchengladbach, Alemania",Customer S&S: Remote (NEW),2021-11-25,Req0895248
242,"Glasgow, Reino Unido",Customer S&S: Remote (NEW),2021-11-22,Req0893246
243,"Ciudad de México, México",Customer S&S: F2F (NEW),2021-11-19,Req0892701
244,"Madrid, España",Software Engineering (NEW),2021-11-19,Req0892635
245,"Madrid, España","Project, Product Management",2021-11-16,Req0891374
246,"Madrid, España","Project, Product Management",2021-11-16,Req0891452
247,"Posnania, Polonia",Banker (NEW),2021-11-16,Req0890938
248,"Sheffield, Reino Unido",Customer S&S: Remote (NEW),2021-11-17,Req0891897
249,"Bootle, Reino Unido",Operations (NEW),2021-11-10,Req0889187
250,"Posnania, Polonia",Banker (NEW),2021-11-10,Req0889102
251,"Boadilla del Monte, España",Audit (NEW),2021-11-10,Req0889109
252,"Boadilla del Monte, España",Accounting (NEW),2021-11-10,Req0889343
253,"Boadilla del Monte, España",Operations (NEW),2021-11-10,Req0889340
254,"Redhill, Reino Unido",Customer S&S: Remote (NEW),2021-11-10,Req0889245
255,"Redhill, Reino Unido",Customer S&S: Remote (NEW),2021-11-10,Req0889233
256,"Santiago de Chile, Chile",Customer S&S: F2F (NEW),2021-11-08,Req0888102
257,"Boadilla del Monte, España",Operations (NEW),2021-11-10,Req0889335
258,"Boadilla del Monte, España",Accounting (NEW),2021-11-11,Req0889329
259,", Argentina",Admin & Support (NEW),2021-11-08,Req0888092
260,", Argentina",Admin & Support (NEW),2021-11-10,Req0889169
261,", Argentina",Data Management & Governance (NEW),2021-11-10,Req0889163
262,", México",Compliance (NEW),2021-11-09,Req0888871
263,"Milton Keynes, Reino Unido",Data Analytics & Models (NEW),2021-11-08,Req0887966
264,"Narborough, Reino Unido",Customer S&S: Specialized products (NEW),2021-10-29,Req0884385
265,"Santiago de Chile, Chile",Project (NEW),2021-10-28,Req0883801
266,"Santiago de Chile, Chile",Data Analytics & Models (NEW),2021-10-28,Req0883821
267,"Glasgow, Reino Unido",Business Development & Partnerships (NEW),2021-10-22,Req0880841
268,"Redhill, Reino Unido",Customer S&S: Remote (NEW),2021-10-19,Req0877158
269,"Redhill, Reino Unido",Customer S&S: Remote (NEW),2021-10-19,Req0877130
270,"Ciudad de México, México",Audit (NEW),2021-10-12,Req0872392
271,"Pto Vallarta, México",Top Management (NEW),2021-10-14,Req0875777
272,"Ciudad de México, México",Audit (NEW),2021-09-21,Req0872394
273,"Ciudad de México, México",Audit (NEW),2021-10-12,Req0872393
274,", Argentina",Operations (NEW),2021-10-06,Req0863379
275,"Getafe, España","Data Analytics & Models (NEW), Credit Risk (NEW)",2021-10-04,Req0862486
276,"Torino, Italia","Admin & Support (NEW), Product & Service Value Proposition Management (NEW), Analysis & Control (NEW), Accounting (NEW), Operations (NEW), Trading (NEW), Customer S&S: Remote (NEW), Data Management & Governance (NEW), Technology Risk & Cybersecurity (NEW), Non-financial Risk (NEW)",2021-09-23,Req0861218
277,"Ciudad de México, México",Analysis & Control (NEW),2021-08-26,Req0855233
278,", México",Compliance (NEW),2021-07-19,Req0844496
279,"Torino, Italia","Legal (NEW), Project (NEW), HR Specialist (NEW), Operations (NEW), Incidents & Problems Management (NEW), Trading (NEW), Service & Delivery Management (NEW), Customer S&S: F2F (NEW), Recovery & Collections (NEW), Admin & Support (NEW), Product & Service Value Proposition Management (NEW), Analysis & Control (NEW), Accounting (NEW), Credit Risk (NEW), Procurement & Third Party Cost Mgmt. (NEW), Customer S&S: Remote (NEW), Data Management & Governance (NEW), Capital (NEW), Tax (NEW), Compliance (NEW), Technology Risk & Cybersecurity (NEW), Non-financial Risk (NEW)",2021-07-14,Req0843024
280,"Atizapán, México",Customer S&S: F2F (NEW),2022-03-09,Req0935086
281,", México",Customer S&S: Remote (NEW),2022-03-09,Req0935088
282,"Santiago de Querétaro, México",Customer S&S: F2F (NEW),2022-03-09,Req0935054
283,"Mesa, Estados Unidos",Customer S&S: F2F (NEW),2022-03-09,Req0935065
284,"Campo Grande, Brasil",Customer S&S: F2F (NEW),2022-03-09,Req0935033
285,"Playa del Carmen, México",Customer S&S: F2F (NEW),2022-03-09,Req0935031
286,"Tulum, México",Customer S&S: F2F (NEW),2022-03-09,Req0935009
287,"Tlaquepaque, México",Customer S&S: F2F (NEW),2022-03-09,Req0935000
288,"Ciudad de México, México",HR Specialist (NEW),2022-03-09,Req0934997
289,", México",Customer S&S: Remote (NEW),2022-03-09,Req0934984
290,"Celaya, México",Customer S&S: F2F (NEW),2022-03-09,Req0934992
291,", México",Customer S&S: Remote (NEW),2022-03-09,Req0934983
292,"Ciudad de México, México",Operations (NEW),2022-03-09,Req0934941
293,"Horizonte, Brasil",Customer S&S: F2F (NEW),2022-03-09,Req0934907
294,"Ciudad de México, México",Customer S&S: Specialized products (NEW),2022-03-09,Req0934895
295,"Mexicali, México",Customer S&S: Specialized products (NEW),2022-03-09,Req0934953
296,"Redhill, Reino Unido",Customer S&S: Remote (NEW),2022-03-08,Req0934353
297,"Sandwich, Estados Unidos",Customer S&S: F2F (NEW),2022-03-09,Req0934921
298,"Madrid, España",Financial Management (NEW),2022-03-09,Req0934890
299,"Nueva York, Estados Unidos",Customer S&S: F2F (NEW),2022-03-09,Req0934868
300,"East Providence, Estados Unidos",Customer S&S: F2F (NEW),2022-03-09,Req0934888
301,"Mönchengladbach, Alemania",Governance (NEW),2022-03-09,Req0934732
302,", Polonia",Customer S&S: F2F (NEW),2022-03-09,Req0934689
303,"São Paulo, Brasil",Early Careers (NEW),2022-03-09,Req0934721
304,"Mönchengladbach, Alemania",Properties & Gral. Services (NEW),2022-01-10,Req0934646
305,"Múnich, Alemania",Software Engineering (NEW),2022-03-01,Req0934627
306,"Mönchengladbach, Alemania",Legal (NEW),2022-03-01,Req0934609
307,", México",Commercial & Business Banker (NEW),2022-03-08,Req0934525
308,"Boston, Estados Unidos",Properties & Gral. Services (NEW),2022-03-08,Req0934467
309,"Zamora de Hidalgo, México",Customer S&S: F2F (NEW),2022-03-08,Req0934502
310,"Rondonópolis, Brasil","Product & Service Value Proposition Management (NEW), Commercial Development",2022-03-08,Req0934523
311,"Tepic, México",Customer S&S: Specialized products (NEW),2022-03-08,Req0934518
312,"Ciudad de México, México",Customer S&S: F2F (NEW),2022-03-09,Req0934516
313,"San Andrés Cholula, México",Customer S&S: Specialized products (NEW),2022-03-08,Req0934496
314,"São Paulo, Brasil",Systems Infrastructure & Communication Platforms (NEW),2022-03-08,Req0934501
315,"Ciudad de México, México",Non-financial Risk (NEW),2022-03-08,Req0934508
316,"Ciudad de México, México",Customer S&S: F2F (NEW),2022-03-08,Req0934474
317,"Dallas, Estados Unidos",Customer S&S: Specialized products (NEW),2022-03-08,Req0934487
318,"Nueva York, Estados Unidos",Customer S&S: F2F (NEW),2022-03-04,Req0932878
319,"Alvaro Obregon, México",Customer S&S: F2F (NEW),2022-03-08,Req0934446
320,"Roxbury, Estados Unidos",Customer S&S: F2F (NEW),2022-03-08,Req0934421
321,"Roxbury, Estados Unidos",Customer S&S: F2F (NEW),2022-03-08,Req0934413
322,"Tizayuca, México",Strategy & Corporate Development (NEW),2022-03-08,Req0934412
323,"Boca del Rio, México",Compliance (NEW),2022-03-08,Req0934397
324,"Tizayuca, México",Strategy & Corporate Development (NEW),2022-03-08,Req0934409
325,"Guadalajara, México",Customer S&S: F2F (NEW),2022-03-08,Req0934425
326,"Dorchester, Estados Unidos",Analysis & Control (NEW),2022-03-08,Req0934356
327,"Mazatlán, México",Customer S&S: Specialized products (NEW),2022-03-08,Req0934343
